Hawaii Pacific University (HPU),72.2%
University of Hawaii at Hilo (UHH),72.3%
University of Hawaii-West Oahu (UHWO),72.3%
University of Hawaii at Manoa (UHM),78.4%
Chaminade University of Honolulu,87.4%
University of Idaho,60.9%
The College of Idaho (C of I),64.9%
Northwest Nazarene University,67.2%
Boise State University,85.4%
Lewis-Clark State College (LCSC),99.1%
Brigham Young University-Idaho (BYU-I),99.3%
University of Chicago,13.2%
Northwestern University (Northwestern),18.0%
Robert Morris University Illinois (RMC),27.9%
Chicago State University (CSU),37.8%
Rockford University,40.1%
North Park University (NPU),42.5%
Saint Xavier University (SXU),49.1%
Southern Illinois University Carbondale (SIUC),51.4%
University of St Francis (USF),51.7%
Illinois Institute of Technology (IIT),53.9%
Concordia University-Chicago (CUC),55.4%
Millikin University,55.5%
Lewis University,55.9%
University of Illinois at Springfield (UIS),56.4%
Northern Illinois University (NIU),56.4%
Lake Forest College,56.9%
Dominican University (Dominican),57.1%
Loyola University Chicago,58.0%
Illinois College,58.2%
Illinois Wesleyan University (IWU),59.5%
North Central College (NCC),60.2%
Greenville College,60.9%
Blackburn College,61.3%
Monmouth College,61.5%
Northeastern Illinois University (NEIU),62.5%
DePaul University (DePaul),62.3%
Western Illinois University (WIU),62.8%
Bradley University (BU),63.3%
University of Illinois at Urbana-Champaign (UIUC),63.3%
University of Illinois at Chicago (UIC),63.9%
Eastern Illinois University (EIU),64.6%
Judson University,65.1%
MacMurray College (Mac),66.4%
McKendree University,66.5%
Lincoln Christian University (Lincoln Christian College),66.9%
Elmhurst College (EC),68.2%
Wheaton College,68.7%
Augustana College,68.8%
Eureka College,72.6%
Lincoln College,73.5%
Illinois State University (ISU),74.0%
Aurora University (AU),74.6%
Benedictine University,75.8%
Roosevelt University (RU),76.2%
Knox College,77.6%
School of the Art Institute of Chicago (SAIC),78.3%
Olivet Nazarene University (ONU),79.1%
Southern Illinois University Edwardsville (SIUE),81.9%
Trinity Christian College,82.3%
Moody Bible Institute,84.9%
Principia College,86.7%
Hebrew Theological College (HTC),87.4%
Trinity International University-Illinois,91.1%
Quincy University,91.4%
University of Notre Dame (Notre Dame),23.3%
Calumet College of Saint Joseph (CCSJ),34.0%
Purdue University-Calumet Campus (Purdue-Calumet),47.4%
Oakland City University,47.9%
University of Saint Francis-Fort Wayne,51.0%
Anderson University,54.0%
Marian University (Marian),54.6%
Goshen College,59.5%
Indiana University-East (IUE),59.7%
Ball State University (BSU),61.2%
Purdue University-Main Campus (Purdue-West Lafayette),61.5%
Saint Josephs College (SJC),61.8%
DePauw University (DePauw),62.5%
Saint Mary-of-the-Woods College (St Mary-of-the-Woods College),63.7%
Indiana Institute of Technology (Indiana Tech),63.9%
Hanover College,63.9%
Manchester University,64.9%
Franklin College (Franklin College of Indiana),65.0%
Rose-Hulman Institute of Technology (R-HIT),65.5%
Butler University,65.9%
Wabash College,67.0%
Indiana University-Purdue University-Indianapolis (IUPUI),67.1%
Indiana University-Northwest (IUN),68.8%
Indiana University-Kokomo (IU Kokomo),70.4%
Purdue University-North Central Campus (Purdue-North Central),70.8%
Trine University,71.6%
University of Southern Indiana (USI),71.7%
Indiana University-South Bend (IUSB),71.9%
University of Indianapolis (UIndy),72.7%
Indiana Wesleyan University (IWU),73.0%
Bethel College-Indiana,73.3%
Indiana University-Bloomington (IU),74.4%
Earlham College (Earlham),74.9%
Indiana University-Southeast (IUSE),77.9%
Valparaiso University (Valpo),79.6%
University of Evansville (UE),80.1%
Indiana University-Purdue University-Fort Wayne (IPFW),82.1%
Holy Cross College,83.4%
Taylor University,83.5%
Saint Mary's College (St. Mary's College),84.8%
Indiana State University (Indiana State),86.3%
Grace College and Theological Seminary,91.0%
Huntington University,97.3%
Grinnell College,32.0%
Graceland University-Lamoni,47.9%
Cornell College,52.9%
William Penn University,54.1%
Iowa Wesleyan College,56.5%
Upper Iowa University (UIU),62.1%
Morningside College,62.5%
Faith Baptist Bible College and Theological Seminary (FBBC&TS;),65.4%
Central College,65.4%
Drake University (Drake),65.9%
Coe College,66.7%
Loras College,67.9%
Mount Mercy University (Mount Mercy College),69.7%
Luther College,70.2%
Wartburg College,70.4%
Buena Vista University,71.2%
AIB College of Business (American Institute of Business),72.6%
Saint Ambrose University (SAU),73.2%
Northwestern College,73.6%
Clarke University,73.8%
University of Dubuque,77.3%
University of Northern Iowa (UNI),77.5%
Dordt College (Dort),78.4%
University of Iowa (UI),78.4%
Mercy College of Health Sciences,83.8%
Iowa State University (ISU),86.3%
Simpson College,88.7%
Grand View University (GVC),92.5%
Newman University,44.6%
Sterling College (SC),46.3%
University of Saint Mary (University of St. Mary),46.7%
Kansas Wesleyan University,47.9%
Friends University,58.0%
Bethany College,58.6%
McPherson College,60.2%
Benedictine College,61.0%
Bethel College-North Newton,64.9%
MidAmerica Nazarene University (Mid-America Nazarene College),71.3%
Emporia State University (ESU),72.3%
Pittsburg State University (Pitt State),79.3%
Fort Hays State University (FHSU),81.0%
Tabor College (Tabor),84.6%
Baker University (Baker),84.8%
Southwestern College,87.9%
University of Kansas (University of Kansas),92.7%
Wichita State University (WSU),95.2%
Washburn University (WU),95.5%
Ottawa University-Ottawa (OU),95.6%
Kansas State University (K-State),99.0%
Brescia University,20.5%
Kentucky Wesleyan College (KWC),21.2%
Spalding University (Spalding),29.3%
Berea College,31.8%
Alice Lloyd College,35.4%
Kentucky State University (KY State),44.5%
Kentucky Christian University,58.2%
Asbury University,63.3%
Northern Kentucky University (NKU),64.2%
Eastern Kentucky University (EKU),66.3%
Campbellsville University,66.7%
University of Kentucky (UK),68.4%
Midway College,68.5%
Centre College,68.7%
University of the Cumberlands (Cumberland College),69.0%
University of Louisville (U of L),72.7%
"Union College in Barbourville, KY",76.6%
Georgetown College,82.2%
Murray State University (MSU),83.3%
Transylvania University,85.1%
Bellarmine University,86.1%
Mid-Continent University,87.1%
Thomas More College (TMC),88.3%
Western Kentucky University (WKU),91.7%
Morehead State University (MSU),92.7%
The Southern Baptist Theological Seminary (SBTS),94.3%
Southern University at New Orleans,17.4%
Tulane University of Louisiana,27.3%
Dillard University,28.3%
Southern University and A & M College (SU),41.9%
Grambling State University (GSU),42.1%
Southeastern Louisiana University (Southeastern),45.6%
University of New Orleans (UNO),49.2%
University of Louisiana at Lafayette (UL),60.4%
Louisiana State University-Alexandria,61.1%
Xavier University of Louisiana (XU),63.5%
Centenary College of Louisiana,64.1%
New Orleans Baptist Theological Seminary (NOBTS),65.3%
Loyola University-New Orleans,65.6%
Our Lady of the Lake College,65.9%
McNeese State University (McNeese),68.7%
Louisiana Tech University (LA Tech),70.8%
Louisiana State University and Agricultural & Mechanical College (LSU),79.6%
Northwestern State University of Louisiana (NSU),84.9%
Louisiana College,85.2%
Louisiana State University-Shreveport (LSUS),86.3%
University of Louisiana-Monroe (ULM),91.4%
Nicholls State University,91.8%
Bowdoin College,15.8%
Bates College,26.6%
Colby College,28.9%
New England School of Communications,61.2%
Maine Maritime Academy,66.2%
Thomas College,67.3%
University of Maine at Fort Kent,69.3%
College of the Atlantic,70.9%
Husson University,76.5%
University of Maine (UMaine),77.7%
University of Southern Maine (USM),79.6%
Saint Joseph's College of Maine,79.9%
University of Maine at Machias (University of Maine-Machias),82.6%
University of New England (UNE),86.1%
Unity College,87.1%
University of Maine at Farmington (UMF),87.5%
Maine College of Art,97.7%
United States Naval Academy (USNA),6.8%
Johns Hopkins University (JHU),18.4%
Coppin State University,34.6%
Washington Adventist University (Columbia Union College),43.2%
University of Maryland-College Park (UM),46.6%
Bowie State University (BSU),48.0%
Maryland Institute College of Art (MICA),51.8%
Towson University (TU),52.2%
Salisbury University (SU),52.7%
Notre Dame of Maryland University,53.1%
Mount St Mary's University (Mount St. Mary's University),55.5%
University of Maryland Eastern Shore (UMES),56.7%
Stevenson University (SU),58.7%
Morgan State University (MSU),58.9%
Frostburg State University (FSU),59.2%
University of Maryland-Baltimore County (UMBC),60.3%
St Mary's College of Maryland,61.4%
McDaniel College,64.1%
Loyola University Maryland,64.6%
University of Baltimore (UB),65.0%
Washington College,66.4%
Goucher College,73.5%
Hood College (Hood),77.1%
St John's College,82.3%
Capitol College,88.7%
Harvard University,5.8%
Massachusetts Institute of Technology (MIT),8.9%
Amherst College,13.3%
Williams College,17.3%
Franklin W. Olin College of Engineering (Olin College),19.2%
Tufts University,21.4%
Boston College (BC),28.8%
Babson College,29.0%
The New England Conservatory of Music,29.5%
Wellesley College,29.7%
Northeastern University (NEU),31.9%
College of the Holy Cross,33.5%
Brandeis University,39.1%
Gordon College,40.3%
The Boston Conservatory,40.7%
Mount Holyoke College (MHC),42.1%
Smith College,42.6%
Berklee College of Music (BCM),43.2%
Bentley University,45.1%
Simmons College,48.3%
Emerson College,48.4%
Boston University (BU),49.4%
Emmanuel College,50.0%
Worcester Polytechnic Institute (WPI),52.6%
Framingham State University (FSC),58.3%
Pine Manor College,59.2%
Wheaton College,60.2%
Mount Ida College,60.9%
Bay Path College,61.3%
Wentworth Institute of Technology,61.4%
University of Massachusetts-Boston (UMass Boston),61.4%
Newbury College-Brookline,62.1%
Becker College,62.3%
University of Massachusetts Amherst (UMass Amherst),62.6%
Fisher College,63.9%
Endicott College,63.4%
Hampshire College,63.8%
Lesley University,63.9%
Westfield State University (WSC),64.2%
University of Massachusetts-Lowell (UMass),65.8%
Eastern Nazarene College,66.5%
Springfield College,66.8%
Salem State University,67.1%
Anna Maria College,67.7%
Worcester State University,68.1%
Wheelock College,69.2%
Fitchburg State University (FSU),69.7%
University of Massachusetts-Dartmouth (UMass Dartmouth),70.0%
Lasell College,70.0%
Dean College,70.0%
Clark University,70.0%
Curry College,70.6%
Massachusetts College of Art and Design,70.7%
Massachusetts College of Liberal Arts (MCLA),72.1%
Massachusetts Maritime Academy,72.4%
Regis College,72.7%
Bridgewater State University (BSU),73.3%
American International College (AIC),74.3%
Nichols College (Nichols),74.5%
Assumption College,75.3%
Merrimack College (Merrimac),77.0%
Suffolk University,78.4%
Western New England University,79.0%
Stonehill College,79.9%
College of Our Lady of the Elms (Elms College),80.1%
School of the Museum of Fine Arts-Boston (Museum School),89.0%
Massachusetts College of Pharmacy and Health Sciences (MCPHS),90.0%
Bard College at Simon's Rock (Simon's Rock),92.6%
Andrews University,36.1%
University of Michigan-Ann Arbor (U-M),36.6%
College for Creative Studies (CCS),44.6%
Lawrence Technological University,51.0%
Olivet College (OC Comets),52.6%
Marygrove College,53.0%
Adrian College,57.1%
Kuyper College,58.2%
Eastern Michigan University (EMU),59.8%
University of Detroit Mercy (Detroit Mercy),61.5%
Kettering University,62.0%
Oakland University (Oakland),62.1%
University of Michigan-Dearborn (UM-Dearborn),62.4%
Siena Heights University,62.8%
Northwood University-Michigan (NU),67.6%
Northern Michigan University (NMU),67.8%
Central Michigan University (CMU),68.9%
Kalamazoo College,69.0%
Madonna University,70.0%
Albion College,70.2%
Spring Arbor University (SAU),70.4%
Michigan State University (MSU),70.6%
Ferris State University (FSU),70.9%
Cornerstone University,71.3%
Alma College,71.9%
University of Michigan-Flint (UM-Flint),73.8%
Michigan Technological University (Michigan Tech),75.2%
Calvin College,75.5%
Michigan Jewish Institute,76.4%
Finlandia University,77.8%
Aquinas College (AQ),79.1%
Wayne State University (WSU),80.5%
Grand Valley State University (Grand Valley),81.6%
Grace Bible College,82.0%
Western Michigan University (WMU),83.3%
Hope College,85.1%
Saginaw Valley State University (SVSU),85.3%
Concordia University-Ann Arbor (CUAA),85.5%
Lake Superior State University,88.8%
Rochester College,89.4%
Davenport University (DU),94.8%
Carleton College,25.5%
Macalester College,36.7%
Bemidji State University (BSU),42.2%
University of Minnesota-Twin Cities (U of M),49.5%
Augsburg College,51.1%
Crown College,56.2%
St Catherine University (St. Kate),58.9%
Northwestern College,59.7%
University of Minnesota-Morris,59.8%
St Olaf College,60.4%
Minneapolis College of Art and Design (MCAD),61.3%
University of Minnesota-Rochester,61.7%
Winona State University (WSU),61.7%
Gustavus Adolphus College,63.4%
Minnesota State University-Mankato (msu),66.1%
Dunwoody College of Technology,69.4%
Hamline University,70.0%
Southwest Minnesota State University (SMSU),70.4%
Bethel University,71.1%
University of Minnesota-Crookston,72.6%
Saint Johns University,74.8%
College of Saint Benedict (Saint Benedict),76.7%
Concordia College at Moorhead,77.7%
University of Minnesota-Duluth (UMD),77.7%
Bethany Lutheran College (BLC),78.0%
The College of Saint Scholastica (CSS),78.3%
Saint Mary's University of Minnesota (SMU),79.0%
Minnesota State University Moorhead (MSU Moorhead),83.6%
University of St. Thomas (UST),86.7%
Saint Cloud State University (SCSU),89.7%
North Central University,96.9%
Martin Luther College (MLC),97.3%
Metropolitan State University,100.0%
Mississippi Valley State University (MVSU),23.8%
Jackson State University (JSU),24.2%
William Carey University,27.4%
Rust College,32.8%
Tougaloo College,37.4%
Mississippi University for Women (MUW),44.0%
Belhaven University,46.0%
Alcorn State University (ASU),47.1%
Millsaps College,54.8%
Mississippi College (MC),58.1%
University of Mississippi (Ole Miss),61.1%
Mississippi State University (MSU),62.2%
University of Southern Mississippi (Southern Miss),64.7%
Delta State University (DSU),89.2%
College of the Ozarks,9.5%
Washington University in St Louis (Washington University),17.9%
Central Christian College of the Bible,48.1%
Cox College,50.2%
University of Missouri-Kansas City (UMKC),51.8%
Missouri Valley College,52.1%
Missouri Baptist University (MBU),57.8%
Webster University (Webster),58.9%
Avila University,59.6%
William Jewell College,60.9%
Culver-Stockton College (C-SC),61.5%
Fontbonne University,62.9%
Saint Louis University-Main Campus (SLU),64.4%
Lindenwood University (LU),65.8%
Cottey College,66.1%
Evangel University,66.6%
Central Methodist University-College of Liberal Arts & Sciences (CMU),66.7%
University of Missouri-St Louis (UMSL),68.6%
Hannibal-LaGrange University,68.4%
Park University,69.3%
Stephens College,70.0%
Northwest Missouri State University (Northwest),70.8%
Maryville University of Saint Louis,71.3%
Westminster College,71.9%
Truman State University,73.7%
Rockhurst University (Rockhurst),78.5%
William Woods University (WWU/ William Woods),79.9%
University of Missouri-Columbia (Mizzou),81.5%
University of Central Missouri (Central),81.8%
Missouri State University-Springfield,83.3%
Drury University,86.7%
Missouri University of Science and Technology,89.5%
Southwest Baptist University (SBU),90.5%
Missouri Southern State University (MSSU),96.2%
Southeast Missouri State University (SE),97.2%
Montana State University (MSU),57.6%
Carroll College (Carroll Montana),62.8%
Rocky Mountain College (RMC),63.5%
Montana State University-Northern,78.5%
Montana Tech of the University of Montana,89.1%
The University of Montana (UM),94.0%
Union College in Lincoln, NE,45.0%
Nebraska Methodist College of Nursing & Allied Health (Nebraska Methodist College),51.4%
College of Saint Mary,52.3%
York College,56.5%
Grace University (Grace College of the Bible),61.9%
University of Nebraska-Lincoln (UNL),64.4%
Hastings College,72.2%
Concordia University-Seward,76.1%
Doane College-Crete,76.5%
Creighton University,78.2%
Nebraska Wesleyan University,79.0%
University of Nebraska at Omaha (UNOMAHA),80.0%
University of Nebraska at Kearney (UNK),85.3%
Midland University,98.0%
Nevada State College,49.1%
University of Nevada-Las Vegas (UNLV),80.6%
University of Nevada-Reno,82.1%
Dartmouth College,10.1%
New England College,72.4%
Saint Anselm College,74.7%
Plymouth State University (Plymouth),76.5%
University of New Hampshire-Main Campus (UNH),77.9%
Keene State College (KSC),78.5%
Rivier University,82.2%
Southern New Hampshire University (SNHU),83.2%
Colby-Sawyer College (Colby-Sawyer),84.7%
Franklin Pierce University (FPU),84.8%
Princeton University,7.9%
Stevens Institute of Technology,40.4%
New Jersey City University (NJCU),43.7%
The College of New Jersey (TCNJ),46.1%
Ramapo College of New Jersey,46.6%
College of Saint Elizabeth (CSE),52.6%
Montclair State University (MSU),54.5%
Bloomfield College,54.6%
Rowan University,56.2%
The Richard Stockton College of New Jersey (Stockton State),57.3%
Rutgers University-Newark ( Rutgers University-Newark),57.5%
Saint Peter's University (Saint Peters),60.6%
William Paterson University of New Jersey (WP),60.8%
Rutgers University-New Brunswick,60.9%
Caldwell College,61.4%
Rutgers University-Camden,62.5%
Fairleigh Dickinson University-College at Florham (FDU),62.6%
New Jersey Institute of Technology (NJIT),63.7%
Georgian Court University (GCU),64.8%
Fairleigh Dickinson University-Metropolitan Campus (FDU),67.1%
Kean University (Kean),68.4%
Monmouth University (MU),71.1%
Rider University,72.1%
Seton Hall University (SHU),84.4%
Drew University,85.1%
Felician College,89.5%
Centenary College,89.2%
Columbia University in the City of New York (Columbia),6.9%
The Juilliard School (Juilliard),7.2%
Cooper Union for the Advancement of Science and Art,7.7%
United States Military Academy,9.0%
Maria College of Albany,15.7%
Cornell University,16.6%
CUNY Lehman College,20.4%
CUNY Bernard M Baruch College (Baruch),22.4%
Barnard College,22.5%
Vassar College,22.8%
Hamilton College,27.2%
CUNY Hunter College,27.2%
CUNY Brooklyn College,28.2%
Colgate University,29.4%
CUNY City College (City),30.6%
CUNY Queens College (Queens),30.7%
Marist College,31.4%
CUNY York College (York),32.9%
SUNY at Purchase College,33.4%
New York University (NYU),35.0%
Bard College,35.2%
University of Rochester,35.3%
New York School of Interior Design (NYSID),36.5%
Manhattan School of Music,37.0%
Union College,38.2%
SUNY Institute of Technology at Utica-Rome (SUNYIT),38.9%
Stony Brook University (SUNY Stony Brook),40.1%
State University of New York at New Paltz (SUNY New Paltz),40.2%
SUNY at Binghamton (Binghamton University),40.7%
Skidmore College,41.9%
Fordham University,42.9%
American Musical and Dramatic Academy,43.1%
CUNY John Jay College of Criminal Justice (John Jay),43.2%
SUNY College at Geneseo,43.2%
Fashion Institute of Technology (FIT),43.4%
SUNY College at Oneonta,43.5%
Rensselaer Polytechnic Institute (RPI),43.6%
SUNY College at Cortland,44.5%
SUNY College at Plattsburgh,45.6%
Buffalo State SUNY,45.8%
Farmingdale State College,45.9%
Metropolitan College of New York (MCNY),46.0%
SUNY College at Brockport,46.1%
Roberts Wesleyan College,46.7%
St Lawrence University,48.2%
SUNY College at Oswego,48.4%
St. John's University-New York,49.1%
Daemen College,50.3%
SUNY College of Technology at Delhi,50.7%
SUNY College of Environmental Science and Forestry (SUNY-ESF),50.7%
SUNY College of Technology at Alfred (Alfred State College),51.3%
Syracuse University (SU),51.3%
SUNY at Albany (University at Albany),51.3%
SUNY College at Old Westbury,52.0%
Hobart William Smith Colleges,53.3%
SUNY at Fredonia,53.4%
The College of New Rochelle (CNR),54.5%
The Sage Colleges,55.5%
Pratt Institute-Main,56.5%
University at Buffalo (UB),56.9%
SUNY Maritime College,57.6%
Rochester Institute of Technology (RIT),58.5%
Hofstra University,58.8%
Medaille College,59.8%
Sarah Lawrence College,60.4%
Wells College,62.2%
Siena College,62.8%
Saint John Fisher College,64.2%
